task_id,wave,priority,workstream,feature_id,task,implementation,acceptance,dependency,owner_lane,status
LAN-0001,0,P0,Foundation,FEAT-001,Loopback-only LAN service,"Preserve bind/host/origin behavior and add IPv4/IPv6, DNS-rebinding, and rate-limit tests.",No non-loopback bind is possible; hostile Host/Origin requests fail.,None,foundation,planned
LAN-0002,0,P0,Foundation,FEAT-002,Managed session/port/PID ownership,Retain session file and ownership verification; add stale-session recovery and multi-project tests.,Stopping one project never terminates an unrelated process.,None,foundation,planned
LAN-0003,1,P0,Foundation,FEAT-003,Mutation session token,"Version token protocol, keep token in memory, bind approvals to session and command plan.",All mutations without a current token fail; replayed approvals fail.,Complete all P0 foundations and prior-wave exit gates,foundation,planned
LAN-0004,1,P0,Foundation,FEAT-004,Host/origin/method/body enforcement,Extract transport middleware and schema/content limits.,Security integration suite covers allow/deny matrix.,Complete all P0 foundations and prior-wave exit gates,foundation,planned
LAN-0005,1,P0,Foundation,FEAT-005,Allowlisted source access,"Canonical realpath, symlink policy, extension/object capabilities, base-hash precondition.",Traversal/symlink/race fixtures cannot escape approved roots.,Complete all P0 foundations and prior-wave exit gates,foundation,planned
LAN-0006,1,P0,Foundation,FEAT-006,Backup and atomic writes,Extract backup/evidence store and verify restore after every failure stage.,Injected write failure leaves original source valid and recoverable.,Complete all P0 foundations and prior-wave exit gates,foundation,planned
LAN-0007,0,P0,Foundation,FEAT-007,Secret detection/redaction,Remove unsafe AI secret guidance; centralize redaction and content scanning.,Known credential patterns are blocked/redacted; docs contain no secret-paste instruction.,None,foundation,planned
LAN-0008,0,P0,Foundation,FEAT-008,Production LAN isolation,Keep build assertion and add generated artifact/private path scans.,"Public build contains zero LAN paths, markers, tokens, or private files.",None,foundation,planned
LAN-0009,1,P0,Foundation,FEAT-009,Versioned capability manifest,Generate capability/readiness status from implementation and tests.,UI/docs cannot claim supported write capability without passing tests.,Complete all P0 foundations and prior-wave exit gates,foundation,planned
LAN-0010,0,P0,Foundation,FEAT-010,Documentation command/path validation,"Scan npm commands, repo paths, wiki links, version/Node/process claims.",Broken command/path/link count is zero in release gate.,None,foundation,planned
LAN-0011,2,P0,Editor kernel,FEAT-011,Canonical DesignerDocument,"Normalized graph with schema versions, stable IDs, revisions, ownership, and migrations.",Stock template imports to a valid document and no-op re-import preserves IDs.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0012,2,P0,Editor kernel,FEAT-012,Stable object identifiers,Fingerprint/source-symbol mapping plus generated IDs; never use line number as identity.,Formatting/no-op import retains at least 100% IDs for supported objects.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0013,2,P1,Editor kernel,FEAT-013,Derived indexes,Parent/route/style/token/component/CMS/asset/source/diagnostic indexes.,Indexes rebuild deterministically and match direct validation.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0014,3,P0,Editor kernel,FEAT-014,Versioned command envelope,Shared command schema with actor/context/targets/payload/revision/idempotency.,Invalid/unauthorized/stale commands fail before mutation.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0015,3,P0,Editor kernel,FEAT-015,Atomic transactions,Group domain/source/provider effects with commit/rollback boundaries.,Multi-object command either fully commits once or leaves no document mutation.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0016,3,P0,Editor kernel,FEAT-016,Command journal,Append-only sanitized command/event log and periodic snapshots.,Replaying fixture journal yields expected document hash.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0017,3,P0,Editor kernel,FEAT-017,Undo/redo,Inverse commands or restore references; undo creates new history.,Command + undo returns semantic equivalence for reversible fixtures.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0018,3,P1,Editor kernel,FEAT-018,Semantic diff,Object-level page/node/style/component/CMS/release summaries plus text diffs.,Reviewers can identify meaning and impact without reading source diff only.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0019,3,P0,Editor kernel,FEAT-019,Optimistic revisions/conflicts,Expected revision and object conflict report.,Concurrent stale mutation is rejected with rebase information.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0020,3,P0,Editor kernel,FEAT-020,Command capability authorization,Server registry maps commands to scoped capabilities and risk.,Role matrix denies every unauthorized command even when called directly.,Complete all P0 foundations and prior-wave exit gates,editor-kernel,planned
LAN-0021,4,P1,Designer UI,FEAT-021,Typed React editor shell,Migrate shell/panels/drawers to React with typed query/command clients.,Current flows pass visual and E2E parity tests.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0022,2,P1,Designer UI,FEAT-022,Shared selection model,"Stable NodeRef shared by canvas, Navigator, inspector, source, audit, comments.",Selecting in any projection synchronizes every other projection.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0023,4,P1,Designer UI,FEAT-023,Inspect/Interact/Preview modes,Formal mode state and allowed commands; preview snapshot lane.,Interactions work in preview; editing commands are blocked in non-edit modes.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0024,5,P1,Designer UI,FEAT-024,Add panel/module registry,"Schema-backed insertable definitions, parent rules, defaults, dependencies.",Click/drag insertion calls one validated transaction and selects result.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0025,4,P1,Designer UI,FEAT-025,Navigator tree,"Virtualized ARIA tree with DnD, search, states, multi-select.",10k-node tree remains within performance budget and fully keyboard operable.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0026,5,P1,Designer UI,FEAT-026,Pages/routes panel,Typed pages/folders/routes/status/metadata/locale records.,Route collision/impact is shown before commit.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0027,6,P1,Designer UI,FEAT-027,Contextual inspector,Settings/style/binding/interaction/source/history projections with provenance.,Every displayed effective style/value links to origin and reset behavior.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0028,4,P1,Designer UI,FEAT-028,Command palette,"Registry-driven actions, shortcuts, context, permissions, parameters.",Commands available in palette exactly match current capabilities/context.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0029,4,P1,Designer UI,FEAT-029,Canvas viewport/device controls,"Breakpoint, exact width, Fit, zoom, overlays, vision/text zoom.",Viewport state is deterministic and separate from document state.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0030,4,P0,Designer UI,FEAT-030,Editor accessibility,"Keyboard, ARIA tree/dialogs, focus restoration, contrast, reduced motion, announcements.",Critical editor paths pass keyboard/screen-reader smoke and WCAG 2.2 AA checks.,Complete all P0 foundations and prior-wave exit gates,designer-ui,planned
LAN-0031,2,P0,Source adapters,FEAT-031,Read-only React/TSX importer,AST project/symbol/JSX importer with source spans and capability classification.,Supported fixture imports are deterministic and execute no project code.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0032,2,P0,Source adapters,FEAT-032,Router discovery adapter,Parse current router and future adapter patterns; replace hard-coded starter map.,All stock routes/layouts are discovered from source and collision-validated.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0033,2,P0,Source adapters,FEAT-033,CSS/PostCSS importer,"Parse selectors, declarations, media, variables, comments, source spans.",No-op parse/print preserves semantic AST and expected formatting.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0034,5,P0,Source adapters,FEAT-034,Constrained literal writes,Move legacy exact-text writes behind AST literal capability and plan/apply/verify.,Repeated strings and expressions cannot cause ambiguous replacement.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
LAN-0035,5,P0,Source adapters,FEAT-035,Structural TSX writer,Insert/move/wrap/delete/extract supported JSX nodes and imports.,Structural edit rebuilds and re-imports to intended graph with no unrelated diff.,Complete all P0 foundations and prior-wave exit gates,source-adapters,planned
