feature_id,domain,feature,source_evidence,current_maturity_0_5,target_maturity_0_5,priority,wave,implementation,acceptance
FEAT-001,Foundation,Loopback-only LAN service,Repository audit,4,5,P0,0,"Preserve bind/host/origin behavior and add IPv4/IPv6, DNS-rebinding, and rate-limit tests.",No non-loopback bind is possible; hostile Host/Origin requests fail.
FEAT-002,Foundation,Managed session/port/PID ownership,Repository audit,4,5,P0,0,Retain session file and ownership verification; add stale-session recovery and multi-project tests.,Stopping one project never terminates an unrelated process.
FEAT-003,Foundation,Mutation session token,Repository audit; STD-019,3,5,P0,1,"Version token protocol, keep token in memory, bind approvals to session and command plan.",All mutations without a current token fail; replayed approvals fail.
FEAT-004,Foundation,Host/origin/method/body enforcement,Repository audit; STD-018–STD-020,3,5,P0,1,Extract transport middleware and schema/content limits.,Security integration suite covers allow/deny matrix.
FEAT-005,Foundation,Allowlisted source access,Repository audit,3,5,P0,1,"Canonical realpath, symlink policy, extension/object capabilities, base-hash precondition.",Traversal/symlink/race fixtures cannot escape approved roots.
FEAT-006,Foundation,Backup and atomic writes,Repository audit,3,5,P0,1,Extract backup/evidence store and verify restore after every failure stage.,Injected write failure leaves original source valid and recoverable.
FEAT-007,Foundation,Secret detection/redaction,Repository audit; WIKI-P0-001,3,5,P0,0,Remove unsafe AI secret guidance; centralize redaction and content scanning.,Known credential patterns are blocked/redacted; docs contain no secret-paste instruction.
FEAT-008,Foundation,Production LAN isolation,Repository audit,4,5,P0,0,Keep build assertion and add generated artifact/private path scans.,"Public build contains zero LAN paths, markers, tokens, or private files."
FEAT-009,Foundation,Versioned capability manifest,WF-061–WF-130,1,5,P0,1,Generate capability/readiness status from implementation and tests.,UI/docs cannot claim supported write capability without passing tests.
FEAT-010,Foundation,Documentation command/path validation,Wiki audit,1,5,P0,0,"Scan npm commands, repo paths, wiki links, version/Node/process claims.",Broken command/path/link count is zero in release gate.
FEAT-011,Editor kernel,Canonical DesignerDocument,WF-005–WF-035; STD-014,1,5,P0,2,"Normalized graph with schema versions, stable IDs, revisions, ownership, and migrations.",Stock template imports to a valid document and no-op re-import preserves IDs.
FEAT-012,Editor kernel,Stable object identifiers,CMP-014–CMP-017,1,5,P0,2,Fingerprint/source-symbol mapping plus generated IDs; never use line number as identity.,Formatting/no-op import retains at least 100% IDs for supported objects.
FEAT-013,Editor kernel,Derived indexes,WF-009–WF-012,1,5,P1,2,Parent/route/style/token/component/CMS/asset/source/diagnostic indexes.,Indexes rebuild deterministically and match direct validation.
FEAT-014,Editor kernel,Versioned command envelope,WF-061–WF-086; STD-014–STD-017,1,5,P0,3,Shared command schema with actor/context/targets/payload/revision/idempotency.,Invalid/unauthorized/stale commands fail before mutation.
FEAT-015,Editor kernel,Atomic transactions,STD-016–STD-017,1,5,P0,3,Group domain/source/provider effects with commit/rollback boundaries.,Multi-object command either fully commits once or leaves no document mutation.
FEAT-016,Editor kernel,Command journal,WF-050–WF-051,1,5,P0,3,Append-only sanitized command/event log and periodic snapshots.,Replaying fixture journal yields expected document hash.
FEAT-017,Editor kernel,Undo/redo,WF-051,1,5,P0,3,Inverse commands or restore references; undo creates new history.,Command + undo returns semantic equivalence for reversible fixtures.
FEAT-018,Editor kernel,Semantic diff,WF-049–WF-051,1,5,P1,3,Object-level page/node/style/component/CMS/release summaries plus text diffs.,Reviewers can identify meaning and impact without reading source diff only.
FEAT-019,Editor kernel,Optimistic revisions/conflicts,WF-049; CMP-014–CMP-017,0,5,P0,3,Expected revision and object conflict report.,Concurrent stale mutation is rejected with rebase information.
FEAT-020,Editor kernel,Command capability authorization,WF-048; WF-135–WF-139,2,5,P0,3,Server registry maps commands to scoped capabilities and risk.,Role matrix denies every unauthorized command even when called directly.
FEAT-021,Designer UI,Typed React editor shell,WF-005–WF-018,2,5,P1,4,Migrate shell/panels/drawers to React with typed query/command clients.,Current flows pass visual and E2E parity tests.
FEAT-022,Designer UI,Shared selection model,WF-009–WF-012,2,5,P1,2,"Stable NodeRef shared by canvas, Navigator, inspector, source, audit, comments.",Selecting in any projection synchronizes every other projection.
FEAT-023,Designer UI,Inspect/Interact/Preview modes,WF-015; WF-087–WF-091,3,5,P1,4,Formal mode state and allowed commands; preview snapshot lane.,Interactions work in preview; editing commands are blocked in non-edit modes.
FEAT-024,Designer UI,Add panel/module registry,WF-008; CMP-002,2,5,P1,5,"Schema-backed insertable definitions, parent rules, defaults, dependencies.",Click/drag insertion calls one validated transaction and selects result.
FEAT-025,Designer UI,Navigator tree,WF-009,3,5,P1,4,"Virtualized ARIA tree with DnD, search, states, multi-select.",10k-node tree remains within performance budget and fully keyboard operable.
FEAT-026,Designer UI,Pages/routes panel,WF-010; WF-079,2,5,P1,5,Typed pages/folders/routes/status/metadata/locale records.,Route collision/impact is shown before commit.
FEAT-027,Designer UI,Contextual inspector,WF-011–WF-012,2,5,P1,6,Settings/style/binding/interaction/source/history projections with provenance.,Every displayed effective style/value links to origin and reset behavior.
FEAT-028,Designer UI,Command palette,WF-007,2,5,P1,4,"Registry-driven actions, shortcuts, context, permissions, parameters.",Commands available in palette exactly match current capabilities/context.
FEAT-029,Designer UI,Canvas viewport/device controls,WF-013–WF-015,3,5,P1,4,"Breakpoint, exact width, Fit, zoom, overlays, vision/text zoom.",Viewport state is deterministic and separate from document state.
FEAT-030,Designer UI,Editor accessibility,WF-059; WF-153–WF-156; STD-012–STD-013,2,5,P0,4,"Keyboard, ARIA tree/dialogs, focus restoration, contrast, reduced motion, announcements.",Critical editor paths pass keyboard/screen-reader smoke and WCAG 2.2 AA checks.
FEAT-031,Source adapters,Read-only React/TSX importer,WF-092–WF-105,1,5,P0,2,AST project/symbol/JSX importer with source spans and capability classification.,Supported fixture imports are deterministic and execute no project code.
FEAT-032,Source adapters,Router discovery adapter,WF-010; WF-079,1,5,P0,2,Parse current router and future adapter patterns; replace hard-coded starter map.,All stock routes/layouts are discovered from source and collision-validated.
FEAT-033,Source adapters,CSS/PostCSS importer,STD-001–STD-009,0,5,P0,2,"Parse selectors, declarations, media, variables, comments, source spans.",No-op parse/print preserves semantic AST and expected formatting.
FEAT-034,Source adapters,Constrained literal writes,Repository audit,3,5,P0,5,Move legacy exact-text writes behind AST literal capability and plan/apply/verify.,Repeated strings and expressions cannot cause ambiguous replacement.
FEAT-035,Source adapters,Structural TSX writer,WF-066–WF-069; CMP-002,0,5,P0,5,Insert/move/wrap/delete/extract supported JSX nodes and imports.,Structural edit rebuilds and re-imports to intended graph with no unrelated diff.
FEAT-036,Source adapters,Generated-owned regions/files,WF-102–WF-105,0,5,P1,5,"Explicit generated directories/files, checksums, ownership records.",Only designated generated artifacts are replaced; manual files are protected.
FEAT-037,Source adapters,Tailwind adapter,WF-019–WF-020,0,5,P1,6,Parse supported utilities/variants/arbitrary values and preserve unknown classes.,Supported class changes are idempotent and conflict-aware.
FEAT-038,Source adapters,Source plan/diff/verification,Repository audit; STD-016–STD-017,1,5,P0,5,"Base hashes, semantic summary, text diff, temp validation, atomic promotion.",Plan invalidates on source drift and failed checks restore original files.
FEAT-039,Styles,Selector/style graph,WF-011–WF-012; WF-070–WF-072,1,5,P0,6,"Selector AST, rule IDs, breakpoints/states/layers, source ownership.",Selector usages and declaration provenance are queryable.
FEAT-040,Styles,Breakpoint cascade,WF-014; STD-004,1,5,P0,6,Base/down/up breakpoint inheritance and visible override/reset semantics.,Effective values match browser at representative widths.
FEAT-041,Styles,Pseudo-states,WF-011–WF-012; STD-009,0,5,P1,6,Hover/focus/focus-visible/active/visited/before/after rules.,State previews and generated selectors are standards-valid.
FEAT-042,Styles,Variables and modes,WF-019; WF-073–WF-077; STD-005,1,5,P0,6,"Typed collections, aliases, modes, usage, cycle checks, source output.",Alias cycles blocked; mode resolution deterministic; rename/delete impact previewed.
FEAT-043,Styles,Grid inspector,STD-007; CMP-012,0,5,P1,6,Track/area/placement model with overlay and exact values.,Grid fixture output matches browser and supports undo/source round-trip.
FEAT-044,Styles,Flexbox inspector,STD-008,0,5,P1,6,Container/item axis controls and overflow/min-size diagnostics.,Flex fixture output matches browser and inspector provenance.
FEAT-045,Styles,Typography system,WF-019–WF-020; CMP-013,1,5,P1,6,Semantic tag separate from visual style; relative units and text zoom.,"Heading semantics, contrast, zoom/reflow audits pass."
FEAT-046,Styles,Design-system policy,WF-020; WF-106–WF-110,1,5,P1,6,Configurable scales/naming/deprecation/allowed-values policy.,Policy violations are reproducible warnings/blocks with fix actions.
FEAT-047,Styles,Computed provenance trace,WF-011; STD-001–STD-005,0,5,P0,6,Explain selector/breakpoint/state/token/source for each effective property.,Reset returns exactly to displayed inherited value.
FEAT-048,Styles,CSS/Tailwind deterministic output,STD-001–STD-009,0,5,P0,6,Generate/modify source through adapters and browser verification.,Repeated generation creates no diff; output passes type/lint/build.
FEAT-049,Components,Definition/instance identity,WF-021–WF-022,2,5,P0,7,Separate reusable definition from instance references and ownership.,Move/duplicate/source generation preserves definition/instance IDs.
FEAT-050,Components,Typed props,WF-024,1,5,P0,7,"JSON Schema-compatible props with defaults, categories, binding types.",Invalid prop values/bindings fail before mutation.
FEAT-051,Components,Slots,WF-025,0,5,P1,7,Declared slot cardinality/allowed content and instance-owned child graphs.,Slot edits preserve ownership and nested component focus.
FEAT-052,Components,Variants,WF-023,0,5,P1,7,Variant axes/selections/defaults and generated style/prop implications.,All instances resolve a valid variant after definition changes.
FEAT-053,Components,Component focus/canvas,WF-022,1,5,P1,7,Explicit definition vs instance editing context and breadcrumb path.,User can see mutation target and apply global/instance change intentionally.
FEAT-054,Components,Versioning/migrations,WF-026; WF-157,0,5,P0,7,Semantic component versions and deterministic instance migration functions.,Upgrade impact and migration result are reviewable and reversible.
FEAT-055,Components,Libraries,WF-016; WF-020; WF-026,1,5,P2,7,Local versioned component/token package and dependency resolver.,Library update detects conflicts and does not silently overwrite local drift.
FEAT-056,Components,Code component manifests,WF-092–WF-096,0,5,P1,11,"React component manifest, isolated preview, dependency and capability policy.",Component renders within limits without fs/env/secrets and passes prop schema tests.
FEAT-057,CMS,Collection schemas,WF-027–WF-034,2,5,P0,8,"Versioned fields, constraints, relationships, indexes, access, locale policy.",Schema validates fixtures and impact report precedes breaking change.
FEAT-058,CMS,Collection items/workflow,WF-029; WF-035,2,5,P1,8,Revisioned items with draft/review/approved/scheduled/published/archived.,Workflow and role tests prevent unauthorized publication.
FEAT-059,CMS,References and integrity,WF-031,0,5,P0,8,"Typed one/many references, delete impact, provider mapping.",Invalid/dangling references are blocked or explicitly migrated.
FEAT-060,CMS,Queries and collection lists,WF-030; WF-034,0,5,P1,8,Typed filters/sort/pagination/projection and repeated item template.,Query/binding validates and previews empty/loading/error/item states.
FEAT-061,CMS,Typed bindings,WF-030; WF-150; CMP-003,1,5,P0,8,Schema-checked paths/transforms/fallbacks/visibility over context.,Missing/incompatible field fails before preview/publish.
FEAT-062,CMS,Schema migrations,WF-028–WF-034,0,5,P0,8,Impact/backfill/emulator/review/apply/verify/rollback record.,Breaking migration demonstrates counts/integrity and rollback/forward-fix plan.
FEAT-063,Forms,Typed form contracts,WF-060; WF-151,2,5,P0,8,"Fields, validators, destinations, outcomes, retention, access.",Generated client constraints and server validation match.
FEAT-064,Forms,Anti-abuse and privacy,WF-152; STD-018–STD-020,1,5,P0,8,"Rate limiting, bot/spam controls, consent, redaction, retention.",Replay/spam fixtures do not create duplicate/unsafe records.
FEAT-065,Assets,Asset catalog and usage,WF-018; WF-078,2,5,P1,8,Hash/metadata/alt text/provider/transform/usage indexes.,Replace/delete shows all usages and accessibility impact.
FEAT-066,Commerce,Optional Ecommerce pack,WF-131–WF-134,0,3,P2,12,Products/SKUs/cart/checkout/order/provider state machines over CMS/forms/adapters.,Test-mode order flow is idempotent and audited; no live secret reaches browser.
FEAT-067,Interactions,Trigger/target model,WF-036–WF-042,1,5,P1,9,Typed triggers and stable target selectors with impact checks.,Structure changes detect broken/ambiguous targets.
FEAT-068,Interactions,Timeline/action editor,WF-036–WF-040,0,5,P1,9,Keyframes/groups/easing/variables/playback and preview.,Timeline plays deterministically and round-trips to runtime adapter.
FEAT-069,Interactions,Reduced-motion/FOUC policy,WF-041–WF-042,0,5,P0,9,Initial state generation and alternate reduced-motion behavior.,No hidden content remains inaccessible; reduced-motion tests pass.
FEAT-070,Localization,Locales and fallback graph,WF-043–WF-047,0,5,P1,9,"Locale records, direction, fallback, domain/subdirectory, publish status.",Fallback graph cannot cycle and route policy is deterministic.
FEAT-071,Localization,Sparse object overrides,WF-044,0,5,P1,9,Field/path-level locale overrides over primary document.,Adding a locale does not clone the document; inheritance is visible.
FEAT-072,Localization,Locale-aware publish/search/SEO,WF-045–WF-047; WF-145–WF-148,0,5,P1,9,"Localized routes, metadata, schema, search, switcher, access.",Each locale snapshot has valid routes/language/canonical/search output.
FEAT-073,Publishing,Preview snapshots,WF-015; WF-051–WF-056,1,5,P0,10,Freeze document/source/toolchain/config and generated build/artifacts.,Snapshot content/hash cannot change after creation.
FEAT-074,Publishing,Semantic review report,WF-049–WF-051,0,5,P1,10,Object/style/component/CMS/route/source/diagnostic diff.,Required reviewers can approve scoped changes with stale detection.
FEAT-075,Publishing,Gate policy,WF-059; STD-013; STD-018,2,5,P0,10,Versioned required checks by environment/risk/project edition.,Failed required gate blocks release candidate unless authorized exception exists.
FEAT-076,Publishing,Publish manifest,WF-052–WF-056,0,5,P0,10,"Artifact/route/asset hashes, target, approvals, rollback, checks.",Release can be independently verified from manifest.
FEAT-077,Publishing,Staging/production targets,WF-053–WF-058,2,5,P0,10,Explicit environment/project/domain identity through existing deploy flow.,Wrong target/account/environment is detected before write.
FEAT-078,Publishing,Backup/restore,WF-051,3,5,P0,10,Document/journal/source/artifact/provider metadata restore points.,Restore drill produces a new verified release and preserves history.
FEAT-079,Publishing,SEO/AEO/search artifacts,WF-145–WF-148,1,5,P1,10,Metadata/schema/sitemap/index manifest/redirect validation.,Published snapshot has valid unique metadata and no broken internal route references.
FEAT-080,Publishing,Release history and smoke evidence,WF-050–WF-052,1,5,P1,10,"Release UI, deployment status, post-deploy checks, monitoring links.","Every production release has target, smoke, monitor, and rollback evidence."
FEAT-081,Extensions,Plugin manifest and sandbox,WF-111–WF-115; CMP-014–CMP-020,0,5,P0,11,"Integrity, capabilities, isolated UI/runtime, storage/network policy.",Plugin cannot access undeclared query/command/network/storage capabilities.
FEAT-082,Extensions,Versioned query API,WF-061–WF-086,1,5,P0,1,Stable read services for workspace/document/selection/styles/usages/source/releases.,UI/CLI/MCP receive equivalent schema-valid read results.
FEAT-083,Extensions,Designer CLI,WF-121–WF-124,1,5,P1,11,JSON/human commands for inspect/import/validate/diff/preview/export/preflight.,CLI uses shared services and deterministic exit codes.
FEAT-084,Extensions,Read-only MCP,WF-116–WF-120,1,5,P1,11,Selection/tree/style/findings/source/release tools with bounded output.,MCP cannot mutate or read secrets/private unrelated files.
FEAT-085,Extensions,MCP mutation proposals,WF-116; WF-125,0,5,P2,11,Proposed command/diff plus plan-bound one-time approval.,Mutation without exact approval fails and approved command enters journal.
FEAT-086,Collaboration,Comments/review threads,WF-139,0,5,P2,12,"Stable object anchors, mentions, resolve/reopen, scoped approvals.",Comments survive object moves and become recoverable orphans on deletion.
FEAT-087,Collaboration,Presence/soft locks,WF-138–WF-139,0,5,P2,12,Ephemeral selection/page/mode presence and optimistic conflict hints.,Presence loss does not affect durable journal and never grants authority.
FEAT-088,Collaboration,Page branches and merge,WF-049,0,5,P2,12,Base revision + command journal + semantic conflict/merge transaction.,Concurrent page branches merge or expose object-level conflicts deterministically.
FEAT-089,Insights,Analyze overlays,WF-140–WF-141,0,3,P3,12,Read-only page/node metrics mapped through publish manifest IDs.,Analytics overlay cannot mutate document or expose editor IDs publicly.
FEAT-090,Insights,Optimize experiments,WF-142–WF-143,0,3,P3,12,"Hypothesis, variations as snapshots, goals, segments, results, stop/rollback.",Experiment variants are reproducible and production changes are release-controlled.
FEAT-091,AI,AI command proposals,WF-035; WF-144; WF-125,1,5,P1,11,"Context query, proposed commands, preview/diff, policy, acceptance.",AI cannot commit a mutation or access live secrets without explicit bounded approval.
