global_id,source_id,publisher,category,title,url,source_type,evidence_level,accessed,takeaway,lan_implication
1,WF-001,Webflow,Platform,Webflow platform,https://webflow.com/platform,official-primary,primary-core-reviewed,2026-08-05,"Forms combine visual structure, typed field settings, destinations, validation, submissions, abuse controls, and privacy decisions.","Represent forms as typed contracts with server-side validation, destination adapters, anti-abuse controls, retention, and test fixtures."
2,WF-002,Webflow,Developer platform,Webflow developer LLM documentation index,https://developers.webflow.com/llms.txt,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the developer platform surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
3,WF-003,Webflow,Developer platform,Webflow Developer Platform,https://developers.webflow.com/,official-primary,primary-core-reviewed,2026-08-05,"Forms combine visual structure, typed field settings, destinations, validation, submissions, abuse controls, and privacy decisions.","Represent forms as typed contracts with server-side validation, destination adapters, anti-abuse controls, retention, and test fixtures."
4,WF-004,Webflow,Developer platform,Webflow Developer Reference,https://developers.webflow.com/reference,official-primary,primary-core-reviewed,2026-08-05,Documents a first-party or normative capability in the developer platform surface.,"Translate the behavior into a typed domain capability, explicit permission, testable command, and evidence-producing operation."
5,WF-005,Webflow,Designer interface,Intro to Webflow,https://help.webflow.com/hc/en-us/articles/33961260162323-Intro-to-Webflow,official-primary,primary-core-reviewed,2026-08-05,"Defines Webflow's present-day workspace shell and how the canvas, toolbars, panels, and site modes divide responsibility.","Keep LAN canvas-first and mode-driven, but make each panel a projection over one typed editor state rather than separate local forms."
6,WF-006,Webflow,Workspace,Dashboard,https://help.webflow.com/hc/en-us/articles/33961328364691-Dashboard,official-primary,primary-core-reviewed,2026-08-05,Separates account/workspace/site administration from in-canvas authoring.,"Split SYSTEMX project control, site settings, and editor sessions instead of expanding the canvas into a universal admin page."
7,WF-007,Webflow,Designer interface,Quick find,https://help.webflow.com/hc/en-us/articles/33961382093587-Quick-find,official-primary,primary-core-reviewed,2026-08-05,Uses search as a command and navigation accelerator across a large authoring surface.,"Back the LAN command palette with typed command metadata, permissions, shortcuts, and recent-context ranking."
8,WF-008,Webflow,Designer interface,The Add panel,https://help.webflow.com/hc/en-us/articles/33961270096659-The-Add-panel,official-primary,primary-core-reviewed,2026-08-05,"Treats insertable elements as categorized, searchable building blocks that can be placed in the canvas or hierarchy.","Create a schema-backed module registry with insertion rules, default props, allowed parents, and renderer/source adapters."
9,WF-009,Webflow,Designer interface,Navigator,https://help.webflow.com/hc/en-us/articles/33961320786451-Navigator,official-primary,primary-core-reviewed,2026-08-05,Keeps canvas selection synchronized with a hierarchical document tree and supports nesting/reordering workflows.,"Replace DOM-derived hierarchy alone with a canonical node graph and stable IDs shared by canvas, Navigator, commands, and source maps."
10,WF-010,Webflow,Pages and routing,Pages panel overview,https://help.webflow.com/hc/en-us/articles/33961360067987-Pages-panel-overview,official-primary,primary-core-reviewed,2026-08-05,"Models pages as managed route-bearing objects with folders, settings, search, and destructive-action controls.","Promote LAN pages from fixture rows to typed page records with route constraints, metadata, layouts, locales, status, and references."
11,WF-011,Webflow,Styles,Style panel overview,https://help.webflow.com/hc/en-us/articles/33961362040723-Style-panel-overview,official-primary,primary-core-reviewed,2026-08-05,Separates reusable selector identity from per-property declarations and exposes provenance through a dedicated inspector.,"Implement a style graph and cascade resolver; do not save isolated CSS text without selector, breakpoint, state, and token provenance."
12,WF-012,Webflow,Styles,Style selectors panel,https://help.webflow.com/hc/en-us/articles/33961365722899-Style-selectors-panel,official-primary,primary-core-reviewed,2026-08-05,Separates reusable selector identity from per-property declarations and exposes provenance through a dedicated inspector.,"Implement a style graph and cascade resolver; do not save isolated CSS text without selector, breakpoint, state, and token provenance."
13,WF-013,Webflow,Canvas,Canvas settings,https://help.webflow.com/hc/en-us/articles/33961230930579-Canvas-settings,official-primary,primary-core-reviewed,2026-08-05,"Makes viewport, scale, assistive previews, and interaction testing explicit canvas modes rather than cosmetic controls.","Persist canvas state independently from document state and add deterministic viewport, zoom, vision, text-zoom, inspect, and interact modes."
14,WF-014,Webflow,Responsive design,Breakpoints overview,https://help.webflow.com/hc/en-us/articles/33961300305811-Breakpoints-overview,official-primary,primary-core-reviewed,2026-08-05,Responsive values participate in an ordered cascade with inherited and overridden declarations rather than separate page copies.,"Build breakpoint-aware style resolution with visible inheritance, reset-to-inherited behavior, and conflict detection."
15,WF-015,Webflow,Canvas,Preview mode,https://help.webflow.com/hc/en-us/articles/40881969908627-Preview-mode,official-primary,primary-core-reviewed,2026-08-05,"Makes viewport, scale, assistive previews, and interaction testing explicit canvas modes rather than cosmetic controls.","Persist canvas state independently from document state and add deterministic viewport, zoom, vision, text-zoom, inspect, and interact modes."
